Affirmative ,Negative,Judge,Result
Meadows HY,Berkeley Prep ZK,Jason Young,Neg
Mamaroneck BO,Georgetown Day MW,Jake Lee,Aff
Liberal Arts and Science MC,West HS SLC GR,Misty Tippets,Neg
Liberal Arts and Science BR,Lane Tech NP,Cade Cottrell,Aff
Maine East PP,Westside KS,Rishi Mukherjee,Aff
Niles West BB,Lawrence Free State MR,Scott Wheeler,Aff
SF Roosevelt LT,Interlake CaPa,Terrell Taylor,Neg
Westwood YN,Coppell KC,Timothy Edstrom,Neg
Barstow BM,Oak Park and River Forest SR,Valerie McIntosh,Neg
Mamaroneck LS,Northview AI,Bernard Medeiros,Aff
Interlake GQ,Liberal Arts and Science GP,Dan Stanfield,Neg
Edina AA,Lexington TK,KJ Reese,Neg
Cypress Bay LL,Montgomery Bell HM,Alex Brown,Neg
Mamaroneck RM,CK McClatchy BG,Matt Cekanor,Aff
Berkeley Prep SS,Archbishop Mitty PA,Nate Graziano,Neg
Bellarmine IG,Walter Payton MW,Magi Ortiz,Aff
Ferris CM,Bellarmine FU,Shree Awsare,Aff
Northside DS,Damien DT,Dhruv Sudesh,Aff
Calvert Hall BL,Northside RS,Eleanor Sullivan,Neg
Georgetown Day SB,Blue Valley Northwest BM,Azja Butler,Aff
Georgetown Day LB,Lowell ST,Larry Dang,Aff
Peninsula RW,Montgomery Bell MP,Matt Munday,Aff
Eagan LS,Bellarmine MT,Kasi McCartney,Aff
Greenhill GR,Glenbrook South MJ,Maddie Pieropan,Neg
Glenbrook North BG,Valley International Prep AU,Jeremy Margolin,Neg
Garfield PT,Glenbrook North BM,Steve Rowe,Neg
Bronx Science CM,Taipei American BW,Corey Turoff,Aff
Washburn Rural PW,North Broward Prep GG,Jeremy Hammond,Aff
Little Rock Central GR,Bronx Science FV,Alex Sherman,Aff
James Logan BM,New Trier HM,Margaret Strong,Neg
Greenhill FS,Caddo Magnet KL,Ezra Serrins,Neg
Little Rock Central LP,New Trier JW,Allegro Wang,Aff
Westminster YL,Lexington BY,Oskar Tauring-Traxier,Neg
Montgomery Bell PC,Nevada Union GW,Debnil Sur,Aff
Peninsula FP,Glenbrook South KK,Grace Kessler,Aff
Mamaroneck DR,Chaminade AH,Will Halverson,Neg
Blue Valley Northwest RY,North Broward Prep DR,Rahul Ramesh,Neg
New Trier RW,Kent Denver MC,Joshua Gonzalez,Aff
Interlake CP,Minneapolis South CC,Jyleesa Hampton,Neg
Pine Crest ER,Montgomery Bell GY,Joe Weideman,Aff
Liberal Arts and Science HW,Westminster SB,Mike Bausch,Neg
Head-Royce KR,Presentation BS,Nae Edwards,Neg
Alpharetta SN,Westminster BW,Ashton Smith,Neg
Notre Dame DN,Bellarmine HM,Jack Ding,Neg
Gunn OS,Mamaroneck PL,Andrew Pak ,Aff
Mamaroneck PL,Notre Dame DN,Eleanor Sullivan,Neg
Bellarmine HM,Gunn OS,Kasi McCartney,Aff
Westminster BW,Liberal Arts and Science HW,Tim Freehan,Aff
Presentation BS,Blue Valley Northwest RY,Arnav Gupta,Aff
Westminster SB,Alpharetta SN,Nina Fridman,Neg
Montgomery Bell Gy,Interlake CP,David Kilpatrick,Neg
Minneapolis South CC,Pine Crest ER,Kegan Ferguson,Aff
Kent Denver MC,Mamaroneck DR,David Sposito,Neg
North Broward Prep DR,Head-Royce KR,Kenny Delph,Aff
Chaminade AH,New Trier RW,Raina Peter,Aff
Glenbrook South KK,James Logan BM,Alex Sherman,Neg
Lexington BY,Peninsula FP,Arvind Shankar,Neg
Nevada Union GW,Westminster YL,Rosie Valdez,Aff
Caddo Magnet KL,Montgomery Bell PC,Andrew Pak ,Aff
New Trier JW,Greenhill FS,Maggie Wells,Neg
Bronx Science FV,Garfield PT,Maddie Pieropan,Neg
New Trier HM,Little Rock Central GR,Magi Ortiz,Neg
Taipei American BW,Washburn Rural PW,Brandon Stras,Neg
North Broward Prep GG,Little Rock Central LP,Thomas Pacheco,Aff
Valley International Prep AU,Greenhill GR,Cade Cottrell,Neg
Glenbrook North BM,Eagan LS,Young Kwon,Neg
Glenbrook South MJ,Glenbrook North BG,Aidan Kane,Aff
Bellarmine MT,Interlake GQ,Johnnie Stupek,Aff
Montgomery Bell MP,Bronx Science CM,Michelle Thomas,Aff
Lowell ST,Peninsula RW,Jeff Buntin,Neg
Blue Valley Northwest BM,Calvert Hall BL,Kelly Phil,Neg
Northside RS,Georgetown Day LB,KJ Reese,Aff
Walter Payton MW,Georgetown Day SB,Jaden Lessnick,Aff
Damien DT,Berkeley Prep SS,Izak Gallini-Matyas,Aff
Bellarmine FU,Mamaroneck RM,Will Halverson,Neg
Archbishop Mitty PA,Northside DS,Jack Ding,Aff
Montgomery Bell HM,Bellarmine IG,Eugenia Giampetruzz,Neg
CK McClatchy BG,Ferris CM,Daniel Iskhakov,Aff
Liberal Arts and Science GP,SF Roosevelt LT,Chris Thiele,Aff
Lexington TK,Mamaroneck LS,Ethan Muse,Aff
Northview AI,Edina AA,Parth Shah,Aff
Oak Park and River Forest SR,Westwood YN,Malcolm Gordon,Neg
Coppell KC,Barstow BM,Nishad Neelakandan,Aff
Interlake CaPa,Niles West BB,Lauren Ivey,Neg
Lawrence Free State MR,Liberal Arts and Science BR,Chris Jun,Aff
Westside KS,Liberal Arts and Science MC,Alaina Walberg,Neg
Lane Tech NP,Mamaroneck BO,Terrell Taylor,Neg
West HS SLC GR,Maine East PP,Dustin Meyers-Levy,Aff
Berkeley Prep ZK,Cypress Bay LL,Donny Peters,Aff
Georgetown Day MW,Meadows HY,Sam Gustavson,Aff
